text,label,stance
Okay so how about declaring and protecting equality for the unborn now? #SCOTUS #Murder #SemST,1,abortion
"True equality"" allows all to be born. #SemST",1,abortion
@user Don't you mean to say (all children deserve the same chances) except the UNBORN CHILDREN?     #SemST,1,abortion
"@user ""In check"" is putting it nicely. #MargaretSanger #SemST",0,abortion
@user And where is @user ? Nowhere to be seen - cause they only care about #SemST,0,abortion
"People go nuts on the #Onepercent, yet their fine with 0.0000023% of the population deciding their fate on #obamacare, #marriage, #SemST",1,abortion
"@user No, it shows that liberals should start thinking about the consequences of their actions #polygamy #gaymarriage #SemST",0,abortion
"Some people are not ready for a child or they were even raped, and theres already too many kids who need adopting anyway #SemST",2,abortion
@user I have no problem with birth control but their you go with that free thing again. So your solution is murder good idea #SemST,1,abortion
Do you know anything about the right of bodily autonomy? Describe it then if you don't think the fetus takes it away from her  #SemST,2,abortion
Findin budget compromise a 'process' #Brownback says  #income #thestate #SemST,0,abortion
"Now that the govt and The Supremes have saved the gays, maybe they will save the babies next. #SemST",1,abortion
The only solution I see against the #POTUS #SCOTUS #Tyranny is #ArticleV #FederalistPapers #SCOTUScare #GayMarriage #wtf #SemST,0,abortion
@user  its morally wrong. Life is sacred and only the giver and its onlyHim alone that should take it#HaveYourSay is on #SemST,1,abortion
It should never ever be legal to have an abortion because murder is wrong & #AbortionIsMurder not #healthcare . We Must . #SemST,1,abortion
Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright,1,abortion
#SoProLife they want to force Texans to carry pregnancies that WON'T EVEN PRODUCE LIFE. #SemST,2,abortion
@user @user Thank goodness politicians saw sense and recognised women's rights over their own bodies. #SemST,2,abortion
"RT @user NEW video: ""I'm not seeing it as a human being."" @user @user @user @user #prolife... #SemST",1,abortion
"@user Typo - I meant to say ""dies"" - With every abortion @ least one human dies. #SemST",1,abortion
"@user whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved.",1,abortion
@user @user @user Very important to #PrayTheRosary to #PrayforthePersecutedChurch & to #SemST,1,abortion
"Abstinence spokesmodel and brawler, Bristol Palin is pregnant and not at all happy about it. Poor little rich girl! #Hypocrite #SemST",0,abortion
"I'm killing my baby tonight, I don't care if it's wrong or right! #SemST",2,abortion
I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old. #SemST,1,abortion
When you bring up the 50 million black babies aborted in the past 30 years people get offended... #SemST,1,abortion
Abortion IS NOT a political issue it is a MORAL issue. #Catholic #Christian #Conservative #SemST,1,abortion
Woe to those who call evil good & good evil. Isaiah 5:20 #SCOTUSMarriage #SemST,0,abortion
If your agonist abortion get a vasectomy  #SemST,1,abortion
Please join us as we pray to end the global holocaust of abortion! #SemST,1,abortion
A little VAN action before work  #datadatadata #SemST,0,abortion
@user but it's ok. at least it's only yo your hand that smells like dick #SemST,0,abortion
It is a poverty to decided that a child must die so that you may live as you wish. -Mother Teresa #SemST,1,abortion
Abortion laws should be designed to make it harder to get an abortion. Abortion is murder! #SemST,1,abortion
@user did u become a lib before or after u made it in Hollywood? #BlackLivesDontMatter #whitebrunch #SemST,0,abortion
"Breda O'Brien strikes again, why can't people just allow the woman who is carrying the 'child' to make her own decisions #Amnesty #SemST",2,abortion
"During an abortion, something alive must become dead to be considered a successful abortion...  #p2 #tcot #ChooseLife #Choice #SemST",1,abortion
So can unborn children have rights now? #SemST,1,abortion
So mint!  Listening to @user LIVE & he s talking about #MargaretSanger being total Evil. Even if you're pro-#Abortion! #SemST,1,abortion
Idiot: how would you feel if your mom aborted you?  Me: nothing cause I would be fucking dead. #SemST,1,abortion
@user Abortion Workers Charged with Manslaughter After Another Woman Dies From #SemST,1,abortion
"Every good Christian wants to make sure the unworthy ""those people"" don't have health insurance. Because Jesus. #RedState #tcot #SemST",0,abortion
Pretend I'm a #tree and #save me. -babies everywhereyouthgen #SemST,1,abortion
"Your life is worth a lot. Don't believe any ""compassionate"" politicians or doctors or friends who tell you otherwise. You matter. #SemST",1,abortion
I'm so glad this is Not My Home! #NMH #SCOTUSMarriage #ACA #SemST,0,abortion
Spent the WHOLE day on my highlight film from my Israel trip...I'll post the link and Instagram the link to it  #ballislife #SemST,0,abortion
Peer pressure is real! Parents also need to get real! Lay the facts right on sex! To those who are misleading shame on u! #SemST,0,abortion
RT @user Yes I will be at @user Counting down to it. Looking forward to standing up for the right to life #... #SemST,1,abortion
You know what's best for you You know what's best for your happiness You know what's best for your well being #SemST,2,abortion
Please pray for mercy for #AndrewChan & #MyuranSukumaran #IStandForMercy #KeepHopeAlive #Bali9 #SemST,0,abortion
Re Last: I can't get past this...why must abortion providers dismember a fetus alive?  That just sounds...hideously inhumane. #SemST,1,abortion
"Selfish men everywhere: ""#BirthControlHelpedMe cheat on my wife! But she found out anyway & our marriage was destroyed. #SemST",0,abortion
How Ohio is secretly as restrictive as Texas with their #antichoice laws #TRAPlaws #SemST,1,abortion
We are people who believe every child is entitled to life and liberty.... -@BarackObama  Yet abortion is still legal. #SemST,1,abortion
Happy to hear the #SCOTUS blocked closing of 10 abortion clinics in TX until an appeal can be heard #safelegalrare #thinkprogress #SemST,2,abortion
@user Yup. The women in the womb are as precious as those who are outside of it. #ProLifeYouth #AllLivesMatter #SemST,1,abortion
Ok now how about we handle up on something just a little more important.....like MURDER   #SemST,1,abortion
Both Democrats and #IslamicState murder by dismemberment. The only difference is the age of their victims. #ISIS #SemST,1,abortion
Now the matter of abortion comes next. #SemST,0,abortion
Legalized tweeting-instead-of-procreating discriminates against the unconceived child. #worstargumentever #lolanti #SemST,1,abortion
Abortion is legal all nine months in Canada and in some parts of the USA. #ProLifeYouth #SemST,1,abortion
"On Manila TV,Monday: #Pacquiao appeals to @user -don't execute #MaryJaneVeloso #deathRow #drugTrafficking #Christian",0,abortion
We must provide demonstrated sexual training as a preparation for marriage. From THE COMING WOMAN #sexed #marriage #books #SemST,0,abortion
RT alvedaking: The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarthD... #SemST,1,abortion
@user @user #Obama cares more about deserters than unborn babies #ProtectTheUnprotected #AntiAbortion #SemST,1,abortion
@user It's not Monday on Twitter until some right wing troll sends me a video of an abortion #ReproRights #SemST,2,abortion
RT @user Why doesn't anyone congratulate me for NOT getting knocked up? Throw me a damn shower #ReproJustice #SemST,0,abortion
@user Its not only safe but contrally to the ten commandments... Thy shall not kill #ItsNotonItsNotSafe #SemST,1,abortion
"@user But adoption chooses to let them live. Obviously a huge difference. You can see that, right?  #Adoption #SemST",1,abortion
"RT @user Government  has exceeded its necessary size, scope and reach into the lives of its citizens. #Armenia... #SemST",0,abortion
"if we can accept that a mother can kill even her own child, how can we tell other people not to kill one another?  #SemST",1,abortion
RT @user #SCOTUS says they support equality for all. Well what about equality for the unborn?  #SemST,1,abortion
@user   goes along with the world is the law of God and not of men #SemST,1,abortion
Every human person - is a being of inestimable worth created in the image and likeness of God. -St. JPII #SemST,1,abortion
The day that love will truly win is the day that the injustice known as abortion is abolished. #AllLivesMatter #SemST,1,abortion
Coming from a female that was taken away the ability to have children. I still believe women should have the ability to choose. #SemST,2,abortion
@user @user @user Where did we get that right? When did we get that right- at conception? #antichoice #SemST,1,abortion
"@user That lady needs help, mental illness is a serious issue. #SemST",0,abortion
"#SupremeCourt  is on a roll this week, did they just discover #coffee or something?? #MarriageEquaility #SemST",0,abortion
"Abortion does not make you un-pregnant, it makes you the mother of a dead child.isright #SemST",1,abortion
What a great day to argue the benefits of making abortion legal #SemST,2,abortion
#Humans have taken over the role of #God - #RachelDolezal #CaitlynJenner #SCOTUSMarriage #SemST,1,abortion
Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote,2,abortion
Forced reproduction is a human rights violation. #feminism #abortionrights #SemST,2,abortion
I love how #liberals only accuse #conservatives of war on women when we don't want to fund,1,abortion
"@user he is still waiting for an answer, instead of wealding his authority to put a stop to it and disobey the government. #SemST",0,abortion
@user Good point but  Our heart starts beating 22 days after conception we are alive at conception. #SemST,1,abortion
Last meeting of the year tonight! 7:00 pm in Case Hall room 334A. Come one come all! Pizza and pop will be provided!,0,abortion
"I'm a woman who cannot conceive, and I proudly beg you to reconsider killing what I'd die for.               #ProLifeYouth #SemST",1,abortion
U.S. Fed law does nothing to prevent killing of pre-born children even up til sec of birth or seriously address root causes of #SemST,1,abortion
"@user ""If you don't draw the line where I've arbitrarily drawn it, you can't draw it anywhere."" Nonsense. #SemST",0,abortion
@user Pressure? It's their job and they are failing miserably at keeping the promises they made.  #GOP #PJNET #Amnesty #Obamacare,0,abortion
"Why is bacteria considered life on Mars, but a heartbeat is not considered life on earth? #heartbeat #SemST",1,abortion
@user Are you OK with #GOP males telling you what you can and can't do with your own body?,2,abortion
"@user Precisely! In God's eyes, ALL life is precious. Let's make this generation the one who ends abortion! #ProLifeYouth #SemST",1,abortion
It is so much fun having younger friends who are expecting babies. #beentheredonethat #chooselife,1,abortion
I've noticed that everybody that is for Abortion has already been born-Ronald Reagan #LetthemLive #AllLivesMatter #SemST,1,abortion
"@user Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2 #SemST",2,abortion
I'm gonna fuck @user Next weekend  #SemST,0,abortion
#Florida AttorneyGeneralBondi files appeal after Judge grants ACLU request to temporarily halt new law requiring 24hr wait before #SemST,1,abortion
Good morning @user Do you plan to tell @user that women on PEI deserve the right to choose? #cdnpoli #peipoli #SemST,2,abortion
So happy that America is making it possible for ALL of its people to be married to the ones they love!  #MarriageEquaility #SemST,0,abortion
"Govt cannot force you to get chemo but if you're a fetus, you must live! #JulieBorowski #reproductiverights #SemST",2,abortion
How the fuNk is Chris Christy a Republican? Oh Yeah hes a RINO #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,1,abortion
@user because a good percent utilized that wonderful gift of choice (#proChoice). #SemST,1,abortion
"RT @user @user @user Everybody but the unborn, right? #SemST",1,abortion
@user it was her choice Mark! #profeminist #SemST,2,abortion
"@user  22wks is too late to be able to have a termination in my opinion, these triplets are babies not a bunch of cells. #SemST",1,abortion
"@user love is only love if it's on her terms. Keep your faith in Jesus, He is your Anchor in this storm. Hebrews 6:19  #SemST",0,abortion
Now we just need to give women everywhere their rightful choice #SemST,2,abortion
@user you want the freedom to murder a baby. Rip them limb by limb. No change in subject by me.Libertarian #SemST,1,abortion
"If we ever forget we're one Nation under GOD, then we will be a Nation gone under. #Reagan #Christian #2A #DogLover #Conservative #SemST",0,abortion
It is a #poverty to decide that a #child must #die so you may live as you wish. -Mother Teresa #prolifeyouth #prolifegen #SemST,1,abortion
Today the proverbial straw broke the back of America It's just a matter of time We've gone too far... #LoveWins #SemST,0,abortion
"We all have a duty to protect the sanctity of life...from the first cell division, to the last. #ProtectLife #pjnet #ctot #ccot #SemST",1,abortion
I refuse to stop praying for an end to abortion. #SemST,1,abortion
"Pregnancy is not a crisis. It's a gift. Whether they be wanted by you or someone else, no child is unwanted. #ChooseLife #Adoption #SemST",1,abortion
We are thrilled to announce that we will be opening a satellite office!  We'll be right across the street from #ASU !  #SemST,1,abortion
@user @user And gov't $ should never go to the largest corporation that murders little babies. Defund #SemST,1,abortion
"Messed up: Being outraged that it's legal to distribute images of abortion, but being fine with abortion being legal. #No2Trudeau #SemST",1,abortion
Like the govt. is literally taking away your right to live your own life by defunding right now #SemST,2,abortion
"Abortion is on the wrong side of history: healers, inventors, artists, your wife, your husband, your best friend, all eliminated. #SemST",1,abortion
Someone snitched on the mom having sex with and playing naked twister with teens. I bet it was her Cock blocking ass children. #SemST,0,abortion
"I will believe the narrative that ""black lives matter"" when ALL black lives matter, all the time. #BlackOnBlackViolence #SemST",0,abortion
RT @user The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarth... #SemST,1,abortion
Why are we all here? Because all of our mothers granted us the gift of life and did not abort us. All life has value. #ProLifeYouth #SemST,1,abortion
"Abortion has nothing to do with feminism. Its about the BABYS body, not yours.isright #SemST",1,abortion
lifeboatcoffee Thanks for the follow! Done with SB and other companies on the left. All about #1M1W #CCOT #SemST,0,abortion
In Ireland the unborn child has constitutional protection. Long may this continued.Youth #SemST,1,abortion
Today I am grateful for the #reproductiverights that allow so many families to escape poverty. #abvote #SemST,2,abortion
Since now the LGBT community received equal rights now it's time to give equal rights to the unborn community! #SemST,1,abortion
"Why would a mother advice her daughter to abort?? Shame, responsibility, but truly is that the best advice?? #ItsNotOnItsNotSafe #SemST",1,abortion
"...and said unto them, Suffer the little children to come unto me, & forbid them not: for of such is the kingdom of God. Mk 10:14 #SemST",1,abortion
@user Large parts of it were difficult to write so I can't imagine having to read the fucking thing. #SemST,0,abortion
"@user do you have influence on policy on how the info is presented as a whole, given that you are listed as a Partner. #SemST",0,abortion
The Democrats just gave the most chilling reply when asked if they support aborting 7-pound babies #SemST,1,abortion
@user @user @user Ginsburg already supports the death penalty..i.e. #SemST,1,abortion
@user I am in favor of women's rights and their right to choose. How I chose is irrelevant to others #SemST,1,abortion
"RT @user Dear Religious Right: I keep my uterus out of your church, so keep your church out my uterus. #SemST",2,abortion
"Unthinkable, shameful, acceptable, encouraged, desirable  ...the evolution of killing the defenseless.   @user @user #SemST",1,abortion
RT @user #DebbieWashermanSchultz the woman has a voice the doctor has a voice. Who speaks for the baby? I'm just askin. #SemST,1,abortion
"Sweat, killed and cut up his victim, extreme deadbeat parents do the same to innocent babies by abortion, #scotusabortion #SemST",1,abortion
